"New York, NY",8550405,3129147,1572929,0.5
"Los Angeles, CA",3971896,1360164,573721,0.42
"Chicago, IL",2720556,1053229,316232,0.3
"Houston, TX",2298628,849974,346814,0.41
"Philadelphia, PA",1567442,581604,89098,0.15
"Phoenix, AZ",1563001,534199,123305,0.23
"San Antonio, TX",1469824,494344,124388,0.25
"San Diego, CA",1394907,497663,151995,0.31
"Dallas, TX",1300082,495362,201599,0.41
"San Jose, CA",1026919,323133,73856,0.23
"Austin, TX",931840,364893,136206,0.37
"Jacksonville, FL",868031,323488,68510,0.21
"San Francisco, CA",864816,356916,145056,0.41
"Columbus, OH",849067,344839,93066,0.27
"Indianapolis, IN",848423,328431,75654,0.23
"Fort Worth, TX",836969,285173,60112,0.21
"Charlotte, NC",827121,322872,86552,0.27
"Seattle, WA",684443,311038,117457,0.38
"Denver, CO",682545,287074,93853,0.33
"El Paso, TX",681136,222557,40232,0.18
"Detroit, MI",677124,255580,48680,0.19
"Washington, DC",672228,281787,119259,0.42
"Boston, MA",669469,261492,90822,0.35
"Memphis, TN",655760,250324,53576,0.21
