NEW JERSEY,2349,1214,1135
CONNECTICUT,2020,1108,912
DISTRICT OF COLUMBIA,2312,1417,895
MASSACHUSETTS,2048,1164,884
NEW YORK,2009,1173,836
CALIFORNIA,2123,1311,812
NEW HAMPSHIRE,1828,1017,811
RHODE ISLAND,1730,938,792
HAWAII,2248,1500,748
ALASKA,1817,1163,654
ILLINOIS,1588,936,652
MARYLAND,1909,1278,631
WASHINGTON,1704,1080,624
VERMONT,1530,923,607
OREGON,1534,943,591
MINNESOTA,1459,888,571
WISCONSIN,1359,792,567
MONTANA,1316,763,553
SOUTH DAKOTA,1225,675,550
WYOMING,1364,815,549
VIRGINIA,1692,1144,548
MAINE,1340,792,548
PENNSYLVANIA,1414,868,546
NORTH DAKOTA,1297,775,522
TEXAS,1453,932,521
NEBRASKA,1269,750,519
KANSAS,1279,782,497
UTAH,1408,925,483
OHIO,1228,746,482
DELAWARE,1506,1049,457
IOWA,1170,718,452
COLORADO,1558,1111,447
MISSOURI,1200,763,437
NEW MEXICO,1214,783,431
PUERTO RICO,864,433,431
LOUISIANA,1219,800,419
MICHIGAN,1220,803,417
NEVADA,1396,980,416
NORTH CAROLINA,1234,827,407
IDAHO,1170,770,400
OKLAHOMA,1159,759,400
ALABAMA,1124,729,395
GEORGIA,1299,909,390
KENTUCKY,1089,702,387
ARIZONA,1319,933,386
TENNESSEE,1167,785,382
MISSISSIPPI,1083,724,359
SOUTH CAROLINA,1168,819,349
FLORIDA,1394,1046,348
ARKANSAS,1029,695,334
INDIANA,1089,758,331
WEST VIRGINIA,972,675,297
